question_id,question,gold_answer,predicted_answer,judge_label,is_correct
11,Why do traditional RAG pipelines often fail when working with financial documents?,They use uniform chunking that ignores document structure like headings and tables,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
12,What does the HyDE (Hypothetical Document Embeddings) technique do to improve retrieval?,It generates a hypothetical answer document using an LLM and performs similarity search using both query and generated text,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
13,What three key technologies does this research combine for chatbot development?,"The research combines LangChain (for meticulous chatbot customization), Retrieval Augmented Generation or RAG (for web scraping and accessing vast information), and performance-optimized Large Language Models fine-tuned with LoRA and QLoRA techniques. This fusion enables focused interactions, comprehensive responses, and efficient execution.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
14,How does RAG enhance the chatbot's capabilities?,"RAG empowers chatbots to access external knowledge sources through web scraping of reputable websites and medical journals. This allows the chatbot to provide comprehensive and informative responses beyond its pre-trained knowledge, addressing a broader variety of queries by integrating retrieved information into response generation.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
15,What performance improvements did the RAG-implemented model achieve?,"The RAG-implemented model achieved significantly higher evaluation scores compared to base and fine-tuned models: 83% BLEU score and 91% ROUGE score, compared to the fine-tuned model's 72% and 68% respectively. The RAG model also performed better in terms of inference time and resource usage (GPU/RAM).","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
16,What is the main role of retrieval in a RAG system?,To select the most relevant text chunks that will be used as context for answering a query,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
17,Why can simple similarity search fail in retrieval systems?,Because the most similar chunk is not always the most relevant chunk for answering the question,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
18,What is the purpose of using re-ranking in retrieval pipelines?,To reorder retrieved chunks based on relevance so the best supporting context is chosen for generation,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
19,What does RAG stand for in the context of LLM-based business insight systems?,Retrieval Augmented Generation,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
20,What is the main benefit of using RAG with LLMs for business insights?,It improves answers by retrieving relevant external documents before generating responses,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
21,"In business case studies, why is retrieval quality critical for RAG-based systems?",Because incorrect or irrelevant retrieved context leads directly to inaccurate business conclusions,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
22,What type of feedback do LLMs over-produce when generating peer reviews?,"Positive feedback (over 55% positive comments vs 43% in human reviews, while being overly cautious about negative criticism).","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
23,"Which automatic metric was most ""fooled"" by fluent LLM-generated reviews?","BertScore (correlation of -0.003 and -0.024 with human judgments, while BLANC and GPT-4 evaluator performed better).","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
24,What does the gap between 70% micro accuracy and 28% macro accuracy reveal about LLM reviewing capability?,"LLMs can judge individual statements with ~70% accuracy but rarely give completely correct answers (~28%), showing they frequently make errors or omissions when comprehensive correctness is required.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
25,"What are the main types of bias present in Large Language Models (LLMs), and how do they affect society?","The main types of bias in LLMs are social bias, language bias, and representation bias. Social bias relates to attributes such as gender, race, age, and occupation, often reinforcing stereotypes and discrimination against marginalized groups. Language bias results in unequal performance across different languages, dialects, or linguistic styles, disadvantaging speakers of low-resource or non-standard languages. Representation bias occurs when certain demographic, cultural, or socioeconomic groups are underrepresented or misrepresented in training data. Together, these biases can perpetuate social inequalities, reinforce stereotypes, and limit fair access to AI benefits.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
26,"Why are privacy and data security critical concerns in Large Language Models, and what mitigation techniques are proposed?","Privacy and data security are critical concerns because LLMs can unintentionally memorize and reproduce sensitive information such as personal data, financial records, and medical information from their training data. Additionally, user interactions may expose private information during inference. To mitigate these risks, researchers propose privacy-preserving methods such as differential privacy, knowledge unlearning, embedding purification, and secure training architectures. These techniques aim to protect sensitive data while maintaining the utility and accuracy of LLMs and ensuring compliance with regulations like GDPR and CCPA.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
27,"How do misinformation and disinformation arise in LLMs, and what strategies are used to address them?","Misinformation and disinformation arise in LLMs due to factors such as contaminated training data, hallucinations, outdated knowledge, and contextually inappropriate responses. LLMs may also be deliberately misused to generate fake news, propaganda, or misleading content at scale. To address these issues, researchers develop automated fact-checking systems, detection mechanisms for AI-generated content, real-time monitoring tools, and improved training methods that enhance contextual accuracy and factual verification. Regulatory measures and transparency requirements are also being explored to limit societal harm.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
28,Why are large language models considered more suitable than traditional machine learning models for data management tasks?,"Because LLMs have strong context understanding, generalization ability, and multi-step reasoning, which allow them to adapt to changing workloads and handle complex tasks like database diagnosis and natural-language-based data analytics.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
29,How does Retrieval-Augmented Generation (RAG) help LLMs in data management systems?,"RAG reduces hallucinations by retrieving domain-specific knowledge, schemas, and APIs from external sources and injecting this information into prompts used by the LLM during inference.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
30,What role do LLM agents play in handling complex data management tasks?,"LLM agents decompose complex tasks into multiple subtasks, orchestrate execution pipelines, manage tools, and perform multi-round reasoning to solve tasks that cannot be handled in a single LLM call.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
31,Why is Retrieval-Augmented Generation (RAG) needed for Large Language Models?,"LLMs suffer from key limitations such as outdated knowledge, weak performance in specialized domains, and hallucinations (confident but incorrect answers). RAG addresses these issues by retrieving up-to-date external information during inference instead of relying only on training data. This allows models to generate more accurate, reliable, and context-aware responses. Importantly, RAG achieves this without expensive retraining or fine-tuning.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
32,What are the core stages of the RAG framework described in the paper?,"The paper organizes RAG into four main stages: pre-retrieval, retrieval, post-retrieval, and generation. Pre-retrieval focuses on indexing and query preparation, retrieval handles search and ranking, post-retrieval refines results through re-ranking and filtering, and generation integrates retrieved content into the final output. This structured view helps clarify the roles of different techniques and reduces confusion in the literature. It also provides a unified framework for analyzing existing RAG systems.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
33,What challenges and future directions for RAG does the paper highlight?,"The authors point out challenges such as inconsistent terminology, fragmented research efforts, and difficulties in evaluating RAG systems fairly. Another issue is balancing retrieval accuracy with generation quality, especially in multi-hop and iterative retrieval settings. For future work, the paper suggests better evaluation metrics, improved integration between retrievers and generators, and expanding RAG beyond text to multimodal data. These directions aim to make RAG more robust and widely applicable.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
34,What are Retrieval-Augmented Large Language Models (RA-LLMs)?,"RA-LLMs combine large language models with external retrieval systems to access up-to-date and task-relevant information, improving accuracy and adaptability.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
35,What are the main components of the RA-LLM framework?,"The main components are retrieval, augmentation, and generation, with a mechanism to decide when retrieval is necessary.","Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
36,Why is retrieval important in RAG-based models?,Retrieval provides external knowledge that reduces hallucinations and enhances performance in knowledge-intensive tasks.,"Error generating answer: Error calling model 'gemini-2.5-flash' (INVALID_ARGUMENT): 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'API key expired. Please renew the API key.', 'status': 'INVALID_ARGUMENT', 'details': [{'@type': 'type.googleapis.com/google.rpc.ErrorInfo', 'reason': 'API_KEY_INVALID', 'domain': 'googleapis.com', 'metadata': {'service': 'generativelanguage.googleapis.com'}}, {'@type': 'type.googleapis.com/google.rpc.LocalizedMessage', 'locale': 'en-US', 'message': 'API key expired. Please renew the API key.'}]}}",INCORRECT,False
